S.No.,Course,#TAs Requirement,#TAs Assigned
1,CS202/3,7,7
2,CS220,8,8
3,CS253,10,10
4,CS315,9,9
5,CS335,9,9
6,CS425,8,8
7,CS498,1,1
8,CS614,2,2
9,CS633,5,5
10,CS640,1,1
11,CS641,5,5
12,CS648,3,3
13,CS688,1,1
14,CS771,22,22
15,CS772,4,4
16,CS776,5,5
17,CS777,1,1
18,CS779,5,5
19,CS798A,1,1
20,CS798E,4,4
21,CS798F,1,1
22,CSXXX,2,2
23,DPGC TA,1,1
24,DUGC TA,1,1
25,ESO207,16,16
